symptom_id,canonical,surface_form
SX_2a8ca4f282,indigestion,uncomfortable feeling in my gut
SX_2a8ca4f282,indigestion,disagreeable stomach feelings persist
SX_2a8ca4f282,indigestion,stomach issues are ongoing issue
SX_2a8ca4f282,indigestion,gut feeling is unpleasant now
SX_41d1de28e9,nose,here is my nose
SX_41d1de28e9,nose,nose on my face
SX_41d1de28e9,nose,the thing that smells
SX_41d1de28e9,nose,my nostrils opening wide
SX_41d1de28e9,nose,the tip of my face
SX_41d1de28e9,nose,the top of my snout
SX_072ff6bd71,nausea,feeling sick to my stomach
SX_072ff6bd71,nausea,unpleasant sensation in my gut
SX_072ff6bd71,nausea,yucky feeling in my belly
SX_072ff6bd71,nausea,disgusting feeling in my throat
SX_072ff6bd71,nausea,sickly feeling in my body
SX_072ff6bd71,nausea,bad feeling in my tummy
SX_02802ea3af,shortness of breath,having trouble catching breath
SX_02802ea3af,shortness of breath,finding it hard to inhale
SX_02802ea3af,shortness of breath,breathless at times always
SX_02802ea3af,shortness of breath,breathing is labored effort
SX_02802ea3af,shortness of breath,airway resistance is high
SX_02802ea3af,shortness of breath,respiratory system is strained
SX_3ae8308c20,sweating,excess moisture on skin surface
SX_3ae8308c20,sweating,water vapor visible on skin
SX_3ae8308c20,sweating,body heat released as fluid
SX_3ae8308c20,sweating,skin temperature regulated now calm
SX_3ae8308c20,sweating,body heat escapes through skin
SX_3ae8308c20,sweating,excess moisture released freely
SX_4de292905d,nausea and vomiting,sickness in my mouth
SX_4de292905d,nausea and vomiting,stomach upset all day
SX_4de292905d,nausea and vomiting,vomit often today too
SX_4de292905d,nausea and vomiting,sick feeling persists here
SX_4de292905d,nausea and vomiting,vomiting happens regularly now
SX_4de292905d,nausea and vomiting,stomach churns with sickness
SX_5b792cc443,fatigue,exhaustion has taken over me
SX_5b792cc443,fatigue,complete physical exhaustion sets
SX_5b792cc443,fatigue,here is a feeling of exhaustion
SX_5b792cc443,fatigue,i am extremely tired now
SX_5b792cc443,fatigue,feeling weak and worn out
SX_5b792cc443,fatigue,exhausted from daily routine
SX_4257c3fc5b,fainting,passing out without warning dropping away
SX_4257c3fc5b,fainting,becoming unconscious in seconds slipping away
SX_4257c3fc5b,fainting,suddenly becoming lifeless dropping off
SX_1a56d69d15,liver failure,liver function severely impaired
SX_1a56d69d15,liver failure,liver unable to perform duties
SX_1a56d69d15,liver failure,liver tissue damage severe
SX_1a56d69d15,liver failure,liver cells dying off rapidly
SX_1a56d69d15,liver failure,liver enzymes out of control
SX_1a56d69d15,liver failure,liver not functioning properly now
SX_bfa5844d82,ascites,ascites
SX_7519dd8bd4,jaundice,jaundice
SX_a317c5b425,yellowing of the skin,yellow skin tone develops gradually
SX_a317c5b425,yellowing of the skin,yellow pigmentation appears slowly
SX_a317c5b425,yellowing of the skin,yellowish discoloration occurs naturally
SX_a317c5b425,yellowing of the skin,skin color shifts to yellow
SX_a317c5b425,yellowing of the skin,yellow undertones emerge visibly
SX_a317c5b425,yellowing of the skin,yellow tint is noticeable
SX_c52e29d93f,confusion,mixed up in my head
SX_c52e29d93f,confusion,trouble understanding simple ideas
SX_c52e29d93f,confusion,everything is unclear now
SX_c52e29d93f,confusion,my mind is all mixed up
SX_c52e29d93f,confusion,things are unclear to me
SX_c52e29d93f,confusion,everything is confusing me
SX_6c1562051d,fever,my temperature is abnormal now
SX_03e2e2ee2c,bone pain,aching feeling in my bones
SX_03e2e2ee2c,bone pain,painful sensation in skeletal system
SX_03e2e2ee2c,bone pain,sharp discomfort in bone areas
SX_03e2e2ee2c,bone pain,soreness in my bone structure
SX_03e2e2ee2c,bone pain,bone tenderness and sensitivity felt
SX_03e2e2ee2c,bone pain,discomfort in bone framework now
SX_cc16b3b85b,frequent infections,frequent bacterial infections occur often
SX_cc16b3b85b,frequent infections,recurring illnesses are common here
SX_cc16b3b85b,frequent infections,multiple infections in short span
SX_cc16b3b85b,frequent infections,illnesses repeat frequently now
SX_cc16b3b85b,frequent infections,bacterial growth is persistent issue
SX_cc16b3b85b,frequent infections,infection cycles continue regularly
SX_3abc30498c,swollen lymph nodes,lymph nodes feel larger than normal
SX_3abc30498c,swollen lymph nodes,nodes in neck and armpits swell
SX_3abc30498c,swollen lymph nodes,lymph glands become bigger easily
SX_3abc30498c,swollen lymph nodes,neck lumps appear suddenly today
SX_3abc30498c,swollen lymph nodes,glands under arms get bigger fast
SX_3abc30498c,swollen lymph nodes,lymph nodes grow rapidly now
SX_c9e2c81526,disorientation,feeling lost in surroundings
SX_287f44f35e,tired,exhausted feeling all day long
SX_287f44f35e,tired,feeling worn out completely now
SX_287f44f35e,tired,absolutely exhausted at this point
SX_287f44f35e,tired,exhaustion has taken over me
SX_287f44f35e,tired,feeling worn out right now
SX_287f44f35e,tired,wanting sleep more than usual
SX_c5f36ffeb9,easy bruising,tends to bruise quickly now
SX_c5f36ffeb9,easy bruising,bruises without much force needed
SX_c5f36ffeb9,easy bruising,prone to minor bleeding spots
SX_c5f36ffeb9,easy bruising,small injuries cause noticeable marks
SX_c5f36ffeb9,easy bruising,injuries show up easily visible
SX_c5f36ffeb9,easy bruising,blood vessels break easily too
SX_a292b41f54,runny nose,nose produces excess liquid discharge
SX_a292b41f54,runny nose,liquid trickles from nostrils freely
SX_a292b41f54,runny nose,excess moisture drips from nose
SX_a292b41f54,runny nose,moisture flows from nostrils slowly
SX_a292b41f54,runny nose,fluid escapes from nasal passages
SX_a292b41f54,runny nose,clear liquid leaks from nose
SX_eaba20c1a4,sinusitis,inflammation of sinus cavities
SX_eaba20c1a4,sinusitis,swollen nasal passages and sinuses
SX_eaba20c1a4,sinusitis,sinus cavity infection present
SX_eaba20c1a4,sinusitis,sinus tissue becomes inflamed
SX_eaba20c1a4,sinusitis,sinus cavity lining thickens
SX_eaba20c1a4,sinusitis,airflow restricted in sinuses
SX_f6febe76c8,stuffy nose,nose feels blocked up
SX_f6febe76c8,stuffy nose,nose is clogged tight
SX_f6febe76c8,stuffy nose,nose not breathing freely
SX_f6febe76c8,stuffy nose,nose has thick discharge
SX_f6febe76c8,stuffy nose,nose airway is narrowed
SX_f6febe76c8,stuffy nose,nose passage is constricted
SX_1213c62fce,cough,cough
SX_380f43098d,headache,pain in my head area
SX_380f43098d,headache,aching sensation on top side
SX_380f43098d,headache,painful throbbing sensation here
SX_380f43098d,headache,tender spot on forehead
SX_380f43098d,headache,painful throbbing feeling now
SX_380f43098d,headache,sharp discomfort in forehead
SX_db615e5a7c,bad breath,bad morning breath smell
SX_db615e5a7c,bad breath,unpleasant mouth air exists
SX_db615e5a7c,bad breath,strong unpleasant breath present
SX_db615e5a7c,bad breath,mouth smell is bad
SX_db615e5a7c,bad breath,breath has an odor
SX_db615e5a7c,bad breath,mouth air smells foul
SX_84b574b430,hypotension,hypotension
SX_910f261683,low blood pressure,blood pressure is below normal
SX_910f261683,low blood pressure,pressure in veins is low
SX_910f261683,low blood pressure,arterial pressure is reduced
SX_910f261683,low blood pressure,systolic pressure is too low
SX_910f261683,low blood pressure,diastolic pressure is too low
SX_910f261683,low blood pressure,here is blood pressure low
SX_29117dc0a0,diarrhea,stool becomes watery suddenly
SX_29117dc0a0,diarrhea,stool becomes very runny here
SX_29117dc0a0,diarrhea,frequent watery stools appear
SX_29117dc0a0,diarrhea,stool becomes extremely watery now
SX_29117dc0a0,diarrhea,frequent watery stools are present
SX_29117dc0a0,diarrhea,unformed stool is produced often
SX_160072f6d8,low blood sugar,here is low blood sugar level
SX_160072f6d8,low blood sugar,blood sugar levels are too low
SX_160072f6d8,low blood sugar,my blood sugar is too low
SX_160072f6d8,low blood sugar,low glucose in my body
SX_160072f6d8,low blood sugar,blood sugar drops too quickly
SX_160072f6d8,low blood sugar,my sugar levels are down
SX_3b339bd3e9,hair loss,hair falling out in clumps
SX_3b339bd3e9,hair loss,thinning of hair on scalp
SX_3b339bd3e9,hair loss,loss of hair follicles
SX_3b339bd3e9,hair loss,excessive shedding of hair
SX_3b339bd3e9,hair loss,absence of hair growth
SX_3b339bd3e9,hair loss,decrease in hair density
SX_0f53c5a9b7,joint pain,aching in my joints
SX_0f53c5a9b7,joint pain,painful movement of my joints
SX_0f53c5a9b7,joint pain,sharp pain in joints felt
SX_0f53c5a9b7,joint pain,pain in my joint area
SX_0f53c5a9b7,joint pain,joint discomfort is present here
SX_0f53c5a9b7,joint pain,aching sensation in joints now
SX_6f845fd164,tiredness,feeling worn out all day
SX_6f845fd164,tiredness,exhausted from doing things
SX_6f845fd164,tiredness,can't stay awake anymore
SX_6f845fd164,tiredness,wanting to sleep more
SX_6f845fd164,tiredness,don't feel energetic enough
SX_6f845fd164,tiredness,getting very sleepy soon
SX_ee34a9b2ec,hypoglycemia,glucose level is too low here
SX_ee34a9b2ec,hypoglycemia,glucose concentration is abnormal now
SX_ee34a9b2ec,hypoglycemia,insulin levels not enough present
SX_ee34a9b2ec,hypoglycemia,blood sugar drops suddenly now
SX_ee34a9b2ec,hypoglycemia,glucose deficiency in body found
SX_ee34a9b2ec,hypoglycemia,glucose levels decreased sharply now
SX_9ff75990bb,irritable,prone to outbursts suddenly
SX_9ff75990bb,irritable,tends to get frustrated often
SX_9ff75990bb,irritable,readily irritated by noise
SX_9ff75990bb,irritable,easily provoked into anger
SX_9ff75990bb,irritable,becomes annoyed at small things
SX_9ff75990bb,irritable,easily riled up suddenly
SX_28c5f9ffd1,depression,feeling hopeless about everything always
SX_28c5f9ffd1,depression,my mood is always down low
SX_28c5f9ffd1,depression,persistent sense of despair daily
SX_28c5f9ffd1,depression,constant feeling of being down
SX_28c5f9ffd1,depression,mood disorder without warning signs
SX_28c5f9ffd1,depression,state of persistent sadness now
SX_d6d4d07e92,impulsive,acts without thinking ahead
SX_d6d4d07e92,impulsive,acts impulsively every time
SX_d6d4d07e92,impulsive,acts on immediate urge
SX_d6d4d07e92,impulsive,does things on impulse
SX_d6d4d07e92,impulsive,thinks and acts rapidly
SX_d6d4d07e92,impulsive,acts on sudden urge
SX_a9df378813,bloating,stomach expansion occurs
SX_a9df378813,bloating,stomach feels tight and full
SX_b00adb9d74,trouble sleeping,not sleeping well lately though
SX_b00adb9d74,trouble sleeping,bad night's sleep every time
SX_b00adb9d74,trouble sleeping,sleeping is not easy now
SX_b00adb9d74,trouble sleeping,difficulty getting some rest
SX_b00adb9d74,trouble sleeping,nighttime sleep is a struggle
SX_b00adb9d74,trouble sleeping,not sleeping well at all
SX_db652e564d,feeling full quickly when eating,getting full before finishing meal
SX_db652e564d,feeling full quickly when eating,eating too much too soon
SX_db652e564d,feeling full quickly when eating,fullness comes quickly always
SX_db652e564d,feeling full quickly when eating,not hungry for seconds
SX_db652e564d,feeling full quickly when eating,already feeling quite full
SX_db652e564d,feeling full quickly when eating,eats quickly gets full
SX_9409592362,constipation,stool movement is slow and hard
SX_9409592362,constipation,bowel movements are infrequent and dry
SX_9409592362,constipation,infrequent bowel movements occur rarely
SX_9409592362,constipation,slow passage of stool occurs often
SX_9409592362,constipation,stool movement becomes very slow pace
SX_9409592362,constipation,stool passing requires extra effort
SX_1639611972,salt craving,need for salty taste in mouth
SX_1639611972,salt craving,urge to eat salty foods now
SX_1639611972,salt craving,strong craving for salty flavors
SX_1639611972,salt craving,desire for salty snacks always
SX_1639611972,salt craving,longing for salty treats tonight
SX_1639611972,salt craving,hunger for salty sensations now
SX_5911296e73,stretch marks,lines on skin from stretching
SX_5911296e73,stretch marks,skin cracks with stretching
SX_5911296e73,stretch marks,skin rips with stretching fast
SX_5911296e73,stretch marks,skin tears with rapid stretch
SX_5911296e73,stretch marks,skin breaks with slow stretch
SX_5911296e73,stretch marks,skin cracks with gradual stretch
SX_2d01f60f87,muscle weakness,muscle tone is decreased slightly
SX_2d01f60f87,muscle weakness,muscles feel less strong now
SX_2d01f60f87,muscle weakness,strength in arms affected
SX_2d01f60f87,muscle weakness,muscle fibers are weaker
SX_2d01f60f87,muscle weakness,physical strength is low
SX_2d01f60f87,muscle weakness,muscle power is lacking
SX_5aba8c3cbf,high blood sugar,blood glucose level above normal range
SX_5aba8c3cbf,high blood sugar,sugar in blood too high now
SX_5aba8c3cbf,high blood sugar,blood sugar higher than expected
SX_5aba8c3cbf,high blood sugar,glucose levels exceed normal limits
SX_5aba8c3cbf,high blood sugar,blood sugar not within normal range
SX_5aba8c3cbf,high blood sugar,high sugar content in blood
SX_f8843a8d28,sore throat,sore area in back of mouth
SX_f8843a8d28,sore throat,painful sensation on throat surface
SX_f8843a8d28,sore throat,swollen and tender throat tissue
SX_f8843a8d28,sore throat,inflamed and irritated throat lining
SX_f8843a8d28,sore throat,tender spot on throat wall
SX_f8843a8d28,sore throat,sensitive throat skin layer
SX_2a444b3108,edema,body part swelling occurs here
SX_453a3e0ef7,heart defect,heart structure is not normal
SX_453a3e0ef7,heart defect,my heart is misshapen slightly
SX_453a3e0ef7,heart defect,heart walls are too thin
SX_453a3e0ef7,heart defect,heart chambers are not correct
SX_453a3e0ef7,heart defect,my heart has an extra layer
SX_453a3e0ef7,heart defect,heart valves do not work right
SX_9d0702e9cf,anger,my temper gets out of control
SX_9d0702e9cf,anger,i feel intense emotional pain
SX_9d0702e9cf,anger,strong negative emotions are present
SX_9d0702e9cf,anger,passion turns into bitter hate
SX_9d0702e9cf,anger,anger takes over my mind
SX_9d0702e9cf,anger,uncontrollable rage in this moment
SX_ab4675bf3b,muscle pain,aching muscle fibers deep
SX_ab4675bf3b,muscle pain,sharp twinges in my back
SX_ab4675bf3b,muscle pain,painful knots in my arms
SX_ab4675bf3b,muscle pain,aching joints and muscles tight
SX_ab4675bf3b,muscle pain,soreness in my leg area
SX_ab4675bf3b,muscle pain,muscle strain felt strongly here
SX_4ee8778451,lymphoma,cancer of lymphatic system cells
SX_4ee8778451,lymphoma,lymph tissue cancerous growths exist
SX_4ee8778451,lymphoma,abnormal lymph cell proliferation occurs
SX_4ee8778451,lymphoma,lymph node tumor formation happens
SX_4ee8778451,lymphoma,lymphoid cell abnormal development seen
SX_4ee8778451,lymphoma,cancerous growth in lymph nodes
SX_fbe3846888,slow breathing,deep breaths taken slowly
SX_fbe3846888,slow breathing,slow pace of inhaling exhaling
SX_fbe3846888,slow breathing,long pauses between breaths taken
SX_fbe3846888,slow breathing,breaths drawn out gradually slow
SX_fbe3846888,slow breathing,exhaling takes a long time
SX_fbe3846888,slow breathing,inhale pause exhale repeat slow
SX_31054e4092,hypothermia,low body temperature syndrome
SX_31054e4092,hypothermia,body heat loss condition
SX_31054e4092,hypothermia,abnormal cold body response
SX_31054e4092,hypothermia,body warmth deficit situation
SX_31054e4092,hypothermia,cooling of the body
SX_31054e4092,hypothermia,abnormally low body temp
SX_ab614119c9,agoraphobia,agoraphobia
SX_d3af37c043,anxiety,here is a feeling of unease
SX_d3af37c043,anxiety,nervousness in my stomach always
SX_d3af37c043,anxiety,fear of what might happen
SX_d3af37c043,anxiety,persistent sense of worry
SX_d3af37c043,anxiety,fearful thoughts never stop
SX_d3af37c043,anxiety,nervousness is my normal
SX_023d39cbdd,albinism,albinism
SX_b6468988dd,coma,coma
SX_fec35336f5,hepatitis,inflammation of liver tissue
SX_fec35336f5,hepatitis,liver disease characterized by pain
SX_fec35336f5,hepatitis,liver inflammation caused by virus
SX_fec35336f5,hepatitis,liver infection with viral agent
SX_fec35336f5,hepatitis,liver damage from viral attack
SX_fec35336f5,hepatitis,liver disease with viral origin
SX_b51e249565,slurred speech,words run together in speech
SX_b51e249565,slurred speech,speech is difficult to understand
SX_b51e249565,slurred speech,speaking becomes hard work
SX_b51e249565,slurred speech,speech is slow and sloppy
SX_b51e249565,slurred speech,speech is not very clear
SX_b51e249565,slurred speech,slow speech is hard to hear
SX_081538f986,malnutrition,here is insufficient nutrient intake
SX_081538f986,malnutrition,inadequate nutrient levels present here
SX_081538f986,malnutrition,nutrient deficiencies exist currently
SX_081538f986,malnutrition,insufficient nutrients available now
SX_081538f986,malnutrition,inadequate nutrition provided daily
SX_081538f986,malnutrition,nutrients not being utilized fully
SX_63339ac00a,poor coordination,trouble with fine motor skills
SX_63339ac00a,poor coordination,difficulty with balance and movement
SX_63339ac00a,poor coordination,inability to control movements
SX_63339ac00a,poor coordination,problems with hand-eye coordination
SX_63339ac00a,poor coordination,struggle with physical dexterity
SX_63339ac00a,poor coordination,difficulty with motor skills
SX_ce9429ba18,hallucinations,having false sensory experiences
SX_c4cec8b546,low-grade fever,not a severe feverish state
SX_c4cec8b546,low-grade fever,somewhat elevated body temperature
SX_c4cec8b546,low-grade fever,temperature only slightly high
SX_c4cec8b546,low-grade fever,temperature just below normal level
SX_c4cec8b546,low-grade fever,temperature slightly higher than usual
SX_c4cec8b546,low-grade fever,not a high fever rate
SX_eb6dd33c05,gallstones,small hard deposits in bile ducts
SX_eb6dd33c05,gallstones,stones forming inside gallbladder walls
SX_eb6dd33c05,gallstones,small stones in gallbladder lining
SX_eb6dd33c05,gallstones,mineral buildup in bile passages
SX_eb6dd33c05,gallstones,small hard lumps in bile
SX_eb6dd33c05,gallstones,small stones in bile tract
SX_9f895d7a40,inappropriate behavior,unwanted actions taken by me
SX_9f895d7a40,inappropriate behavior,behavior that does not belong
SX_9f895d7a40,inappropriate behavior,behaviors that are not okay
SX_9f895d7a40,inappropriate behavior,actions that break the rules
SX_9f895d7a40,inappropriate behavior,behaviors that are out of place
SX_9f895d7a40,inappropriate behavior,behaviors that are not good
SX_2c6ac00bec,food allergy,my body reacts to specific edibles
SX_2c6ac00bec,food allergy,certain foods trigger immune response
SX_2c6ac00bec,food allergy,sensitivity to certain food types
SX_2c6ac00bec,food allergy,reaction to specific dietary items
SX_2c6ac00bec,food allergy,immune system responds to food
SX_2c6ac00bec,food allergy,body has adverse reaction food
SX_e13d519f1d,allergy,allergy
SX_9937d7e385,anaphylaxis,sudden severe allergic reaction happening
SX_9937d7e385,anaphylaxis,serious allergic event taking place
SX_9937d7e385,anaphylaxis,severe allergic reaction happening fast
SX_9937d7e385,anaphylaxis,extreme allergic reaction happens quickly
SX_9937d7e385,anaphylaxis,allergic emergency requiring immediate treatment
SX_9937d7e385,anaphylaxis,life threatening allergic response happening
SX_3c47e65837,allergic rhinitis,swollen nasal tissues and membranes
SX_3c47e65837,allergic rhinitis,excessive mucus production in nose
SX_3c47e65837,allergic rhinitis,inflamed nasal mucous membranes
SX_3c47e65837,allergic rhinitis,irritated nasal passages and sinuses
SX_3c47e65837,allergic rhinitis,overactive immune response in nose
SX_3c47e65837,allergic rhinitis,recurring nasal inflammation and swelling
SX_99fb9059df,rhinitis,nasal cavity inflammation present
SX_99fb9059df,rhinitis,nasal tissue becomes inflamed too
SX_99fb9059df,rhinitis,inflamed nasal passages noted here
SX_99fb9059df,rhinitis,nasal cavity tissues inflamed yes
SX_99fb9059df,rhinitis,nasal passages become inflamed soon
SX_99fb9059df,rhinitis,nasal mucous membrane irritation
SX_929cc9378c,hay fever,allergic reaction to pollen grains
SX_929cc9378c,hay fever,hay and grass allergy symptom
SX_929cc9378c,hay fever,grass pollen allergy condition exists
SX_929cc9378c,hay fever,summer season allergy manifestation seen
SX_929cc9378c,hay fever,pollen grain immune system issue
SX_929cc9378c,hay fever,hay and grass sensitivity
SX_57a4461edd,itching,skin feels like it needs scratching
SX_1a79ab51a7,conjunctivitis,inflamed conjunctiva condition
SX_1a79ab51a7,conjunctivitis,pink eye inflammation present
SX_1a79ab51a7,conjunctivitis,swollen eyelid observed daily
SX_1a79ab51a7,conjunctivitis,eye irritation persists always
SX_1a79ab51a7,conjunctivitis,conjunctival tissue inflamed now
SX_1a79ab51a7,conjunctivitis,inflamed conjunctiva diagnosed today
SX_5b8efad1d3,hives,hives
SX_725d713049,wheezing,squeaky noise in my breathing
SX_725d713049,wheezing,muffled whistling in my breath
SX_725d713049,wheezing,slowly moving air in me
SX_725d713049,wheezing,quick breaths make a whine
SX_699b89cef0,itchy skin,skin feels scratchy all over
SX_699b89cef0,itchy skin,skin is very itchy now
SX_699b89cef0,itchy skin,skin has a prickly feel
SX_699b89cef0,itchy skin,skin is quite scratchy here
SX_699b89cef0,itchy skin,skin is really itchy today
SX_699b89cef0,itchy skin,skin feels rough and tight
SX_a205eb01a6,eczema,skin becomes red inflamed
SX_a205eb01a6,eczema,itchy red patches emerge
SX_a205eb01a6,eczema,skin inflammation occurs here
SX_a205eb01a6,eczema,skin becomes inflamed badly
SX_a205eb01a6,eczema,inflamed itchy skin spots
SX_f7525d370f,tingling,feeling a strange sensation
SX_f7525d370f,tingling,sensation of electric shock
SX_f7525d370f,tingling,prickly feeling on skin
SX_f7525d370f,tingling,tingly all over body
SX_f7525d370f,tingling,electricity like feeling here
SX_f7525d370f,tingling,prickles on my skin now
SX_c6047381e1,facial swelling,facial puffiness occurs suddenly
SX_c6047381e1,facial swelling,soft tissue swelling on face
SX_c6047381e1,facial swelling,swelling of facial skin area
SX_c6047381e1,facial swelling,skin becomes puffy and tight
SX_c6047381e1,facial swelling,face appears larger now
SX_c6047381e1,facial swelling,fluid accumulation in skin
SX_cbfa2b2f74,stomach pain,stomach hurts a little bit
SX_cbfa2b2f74,stomach pain,belly feels sore inside
SX_cbfa2b2f74,stomach pain,tummy is tender now
SX_cbfa2b2f74,stomach pain,gut is feeling uneasy
SX_cbfa2b2f74,stomach pain,midsection has some pain
SX_cbfa2b2f74,stomach pain,aches in the tummy
SX_b94d20940f,memory loss,difficulty recalling specific details
SX_b94d20940f,memory loss,can't remember what to do
SX_b94d20940f,memory loss,can't recall important tasks
SX_b94d20940f,memory loss,remembers nothing new learned
SX_b94d20940f,memory loss,loses memory of daily routines
SX_b94d20940f,memory loss,can't recall what happened yesterday
SX_d4c72e84ff,amnesia,forgetting past events completely
SX_d4c72e84ff,amnesia,inability to remember experiences
SX_d4c72e84ff,amnesia,forgetfulness of personal history
SX_d4c72e84ff,amnesia,inability to recall details
SX_d4c72e84ff,amnesia,forgetting what happened before
SX_d4c72e84ff,amnesia,no memory of earlier life
SX_0316b006c6,night sweats,sweating while sleeping at night
SX_0316b006c6,night sweats,nighttime body temperature regulation issue
SX_0316b006c6,night sweats,excess moisture in bed sheets
SX_0316b006c6,night sweats,wet pillow and bedding syndrome
SX_0316b006c6,night sweats,frequent nocturnal perspiration episodes
SX_0316b006c6,night sweats,unusual nighttime moisture buildup
SX_3efd5163c5,amenorrhea,amenorrhea
SX_f8a79ef309,abdominal pain,tummy pain
SX_f8a79ef309,abdominal pain,lower abdominal tenderness
SX_f8a79ef309,abdominal pain,midsection soreness
SX_f8a79ef309,abdominal pain,gut distress
SX_f8a79ef309,abdominal pain,abdominal tightness
SX_f8a79ef309,abdominal pain,lower belly pain
SX_942a6abacb,behavioral changes,here are some changes in behavior
SX_942a6abacb,behavioral changes,actions become more consistent daily
SX_942a6abacb,behavioral changes,patterns of doing things change
SX_942a6abacb,behavioral changes,ways of acting alter slightly
SX_942a6abacb,behavioral changes,old behaviors fade away slowly
SX_942a6abacb,behavioral changes,new actions take their place
SX_8b174e2c4b,dementia,brain function decline
SX_8b174e2c4b,dementia,cognitive decline accelerates slowly
SX_a3e7fd6626,cognitive impairment,here is a reduced mental capacity
SX_a3e7fd6626,cognitive impairment,reduced ability to think clearly
SX_a3e7fd6626,cognitive impairment,impairment of mental processes
